,n_track,set_section,artist,track,set_name
0,1,1,Anduin,Makepiece In Pieces,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
1,2,1,Transllusion,Dirty South Strut,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
2,3,1,DJ Gregory,Head Talking,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
3,4,1,Kartei Dimension 11,Kartei,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
4,5,1,Soundhack,Untitled 2 A2,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
5,6,1,Various Artists No. 7 (Balance) On Chain Reaction,Untitled 2 A2,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
6,7,1,Shed,Red Planet Express,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
7,8,1,The Thirst,Ital & Halal,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
8,9,1,Get Em,DJ Skull,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
9,10,1,Takbam,Takbam,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
10,11,1,Simoncino,Earth & Nightfall,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
11,12,1,Legowelt,Rave Till Dawn,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
12,13,1,Gherkin Jerks,Don't Dis The Beat,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
13,14,1,Dynamo,Aufenthalt 3,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
14,15,1,Skee Mask,Junt,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
15,16,1,Antigone,The Time Merchant,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
16,17,1,Jay Denham,War Dance,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
17,18,1,Ben Klock,Compression Session,2015-03-12 - Skee Mask @ Boiler Room Munich x Illian Tape
18,1,1,Scanner,RF Radiation,2016-03-04 - Skee Mask - Groove Podcast 50
19,2,1,Javier Hernando,Bruma Caustica,2016-03-04 - Skee Mask - Groove Podcast 50
20,3,1,All,Logopedie 99,2016-03-04 - Skee Mask - Groove Podcast 50
21,4,1,Stasis,So,2016-03-04 - Skee Mask - Groove Podcast 50
22,5,1,Moody Boyz,Pygmy Song,2016-03-04 - Skee Mask - Groove Podcast 50
23,6,1,Conceiled Project,Untitled,2016-03-04 - Skee Mask - Groove Podcast 50
24,7,1,Skee Mask,Untitled,2016-03-04 - Skee Mask - Groove Podcast 50
25,8,1,Funksta,The Groover,2016-03-04 - Skee Mask - Groove Podcast 50
26,9,1,Andres Zacco,Beighty,2016-03-04 - Skee Mask - Groove Podcast 50
27,10,1,UVB,Salvation,2016-03-04 - Skee Mask - Groove Podcast 50
28,11,1,Boss,Depka Rulez,2016-03-04 - Skee Mask - Groove Podcast 50
29,12,1,Skee Mask,Japan Air,2016-03-04 - Skee Mask - Groove Podcast 50
30,13,1,CWA,Day Of Riddance,2016-03-04 - Skee Mask - Groove Podcast 50
